Phrase,Phrase in dialect,Dialect,They work as ,They are   ,They tend to have the following traits
Thank you ,ta,Northen English Dialect,"This person might be saying ""thank you"" in a casual or informal setting.",They are expressing gratitude or appreciation.,"This person might be polite and considerate, acknowledging others' kindness or assistance. They might also be humble and gracious, showing appreciation for even small gestures."
Thank you ,kamsia,Singaporean English,This person might be expressing gratitude or appreciation.,They are thanking someone.,"This person might be polite and courteous, showing appreciation for others' actions or gestures. They might also be humble and gracious in their interactions."
Thank you ,Safe,Multicultural London English,This person might work in a context where they express gratitude or acknowledgement.,They are thanking or acknowledging someone.,"This person might be polite and appreciative, showing gratitude for gestures or favors."
Whatever,"""whatever / anything""",Queen's english,This person might work in a role where they are indifferent or nonchalant about specific topics or decisions.,They are likely someone who is laid-back and doesn't get easily worked up about things.,"This person might be relaxed, easygoing, and unbothered by minor issues. They might prioritize maintaining a calm demeanor and avoiding unnecessary"
Whatever,I've got nowt,Northen English Dialect,This person might be indicating that they have nothing or very little of something.,They are expressing a lack or absence of possessions or resources.,"This person might be humble and modest, not placing value on material possessions. They might also be resourceful or content with what they have, finding satisfaction in simple pleasures."
Whatever,anything lor,Singaporean English,This person might be expressing indifference or flexibility.,They are open to various options or possibilities.,"This person might be easygoing and adaptable, willing to go along with different choices or outcomes. They might also be relaxed and laid-back in their approach."
Whatever,whatever man,Multicultural London English,This person could work in a laid-back or informal environment.,They are dismissing or disregarding something.,"This person might be nonchalant or indifferent, not easily bothered by minor issues."
When someone's late,"""you're late""",Queen's english,This person might be expressing frustration or concern about someone's punctuality.,They are likely someone who values punctuality and respects others' time.,"This person might be organized, punctual, and expect others to adhere to schedules or commitments."
When someone's late,Tha's late,Northen English Dialect,This person might be expressing that someone is late in a colloquial manner.,"They are using regional dialect or slang (e.g., Yorkshire dialect).",This person might be straightforward or blunt in their communication. They might also be accustomed to informal language usage.
When someone's late,What time already?,Singaporean English,This person might be asking about the current time.,They are inquiring about the hour or schedule.,"This person might be punctual and time-conscious, valuing efficiency and organization. They might also be considerate of others' schedules or commitments."
When someone's late,mans bare late,Multicultural London English,This person might work in a casual or social environment.,They are commenting on someone's tardiness.,"This person might be punctual or value timeliness, noticing when others are late."
Yes,"""yes""",Queen's english,"This person could work in any role or environment, as ""yes"" is a common affirmative response.",They are likely someone who is agreeable and open to new ideas or opportunities.,"This person might be cooperative, optimistic, and willing to engage in conversation or activities. They might also be adaptable and flexible in their approach to situations."
Yes,aye,Northen English Dialect,This person might be affirming or agreeing with a statement or proposal.,They are expressing consent or approval.,"This person might be agreeable and cooperative, willing to go along with others' ideas or suggestions. They might also be optimistic and open-minded, seeing the potential for positive outcomes."
Yes,can,Singaporean English,This person might be asking for permission or confirming availability.,They are seeking confirmation or approval.,"This person might be respectful and considerate, seeking permission or validation before proceeding. They might also be flexible and accommodating."
Yes,yeah,Multicultural London English,This person might work in various social or casual settings.,They are expressing agreement or affirmation.,"This person might be agreeable and cooperative, often supporting others' statements."
